id,text,label,timestamp,date,preprocessed_text,mention,negative,positive,neutral,compound
1724199231026602240,"ESCHUCHEN COMO ESTE PIBE QUE VOTA A MILEI ATIENDE AL CRONISTA K. 

RT 👇 MILENARIO!!!!",0,2023-11-13 22:55:00+00:00,2023-11-13,eschuchen pibe vota milei atiende al cronista k rt milenario,Milei,0.0,0.0,1.0,0.0
1717226371666125312,"Pobre Viviana Canosa de amar a Milei, a odiar a Milei, a amar a Milei de nuevo.
Denle un poco de cloro para digerir el sapito….",-1,2023-10-25 00:00:00+00:00,2023-10-25,pobre viviana canosa amar milei odiar milei amar milei nuevo denle poco cloro digerir sapito,Milei,0.25,309.0,441.0,3.818
1721352894971003136,"La no entrevista de Luis Majul a Sergio Massa demuestra dos cosas: la primera tiene que ver con la solvencia del candidato, que nunca perdió el eje ante las brabuconadas e interrupciones del conductor. La segunda refiere al bajo y lamentable nivel de profesionales que hay en esa señal. Si Majul es lo mejor que tienen para operar a un candidato en vivo...que queda para el resto.",1,2023-11-06 02:24:00+00:00,2023-11-06,no entrevista luis majul sergio massa demuestra dos cosas primera tiene ver solvencia del candidato nunca perdio eje brabuconadas e interrupciones del conductor segunda refiere al lamentable nivel profesionalos hay señal si majul es lo mejor tienen operar candidato vivo queda resto,Massa,125.0,94.0,0.78,-2.589
1716483890582266368,"A ver... a los libertarios lechosos y al pusilánime de Iñaki les hago un desafío, que venga Milei a Córdoba, arme asado con la agrupación pida disculpas por las agresiones y le hago la campaña en redes y la rompemos... se animará ? Y lo invito a @CarlosEguiaUno también
#BuenLunes",-1,2023-10-23 00:00:00+00:00,2023-10-23,ver libertarios lechosos al pusilanime iñaki hago desafio venga milei cordoba arme asado agrupacion pida disculpas agresiones le hago campaña redes rompemos se animara lo invito carloseguiauno tambien buen lunes,Milei,66.0,247.0,686.0,5.994
1721958117443817472,"Esto a la gente le jode, Alonso es mejor que Schumacher.

 Massa no es el único en trabajar con los dos que lo dice.",-1,2023-11-07 18:29:00+00:00,2023-11-07,esto gente le jode alonso es mejor schumacher massa no es unico trabajar dos lo dice,Massa,101.0,146.0,754.0,2.263
1719029095416172800,"Mí vieja, gorila de toda la vida, espantada con Milei, me confirma que votará por Sergio Massa en el Balotaje.",0,2023-10-31 00:00:00+00:00,2023-10-31,vieja gorila toda vida espantada milei me confirma votara sergio massa balotaje,Both,172.0,0.0,828.0,-4.404
1724392231098814720,"Sergio Goycochea salió al cruce de Milei por su frase sobre Malvinas: ""Son y serán argentinas""
eldestapeweb.com/deportes/se…",0,2023-11-14 11:42:00+00:00,2023-11-14,sergio goycochea salio al cruce milei frase malvinas son seran argentinas eldestapeweb com deportes se,Milei,0.0,0.0,1.0,0.0
1723759473183863296,Calamaro apoyando a Milei no sorprende pero evidencia lo mal que envejecen algunos roqueritos,-1,2023-11-12 17:47:00+00:00,2023-11-12,calamaro apoyando milei no sorprende evidencia lo mal envejecen roqueritos,Milei,292.0,172.0,535.0,-2.533
1718295459125428224,Es impresionante todo el palabrerío que usan algunos para justificar por qué se dieron vuelta y ahora votan a Milei. Si tenés que dar tantas razones es porque no estás tranquilo con la decisión.,-1,2023-10-28 00:00:00+00:00,2023-10-28,es impresionante todo palabrerio usan justificar se dieron vuelta ahora votan milei si tenes dar tantas razones es porque no tranquilo decision,Milei,56.0,94.0,851.0,3.265
1716408650628059392,"Como votante de JxC. 

El voto visceral dice q hay q votar el blanco

El voto emocional dice q hay q votar a Milei

El voto racional dice q hay q votar a Massa",1,2023-10-23 00:00:00+00:00,2023-10-23,votante jxc voto visceral dice q hay q votar blanco voto emocional dice q hay q votar milei voto racional dice q hay q votar massa,Both,0.0,0.06,0.94,1.531
